Site ,Number,Initial_Weight,Final_Weight,Time_Out,loss_per_hr
West ,1,5,4.73,2.57,2.101167315
West ,2,5,3.76,2.57,9.649805447
West ,3,5,3.75,2.57,9.727626459
West ,4,5,0.21,2.57,37.27626459
West ,5,5,0.39,2.57,35.87548638
West ,6,5,3.33,2.57,12.99610895
West ,7,5,3.85,2.57,8.949416342
West ,8,5,3.64,2.57,10.58365759
West ,9,5,0.31,2.57,36.49805447
West ,10,5,0.48,2.57,35.17509728
West ,11,5,4.38,2.57,4.824902724
West ,12,5,3.32,2.57,13.07392996
West ,13,5,2.44,2.57,19.92217899
West ,14,5,3.85,2.57,8.949416342
West ,15,5,3.76,2.57,9.649805447
Church,1,5,3.13,4.03,9.280397022
Church,2,5,4.64,4.03,1.786600496
Church,3,5,3.98,4.03,5.062034739
Church,4,5,3.72,4.03,6.35235732
Church,5,5,3.83,4.03,5.806451613
Church,6,5,4.73,4.03,1.339950372
Church,7,5,3.67,4.03,6.600496278
Church,8,5,4.37,4.03,3.126550868
Church,9,5,3.68,4.03,6.550868486
Church,10,5,3.67,4.03,6.600496278
Church,11,5,3.44,4.03,7.741935484
Church,12,5,3.8,4.03,5.955334988
Church,13,5,4.03,4.03,4.813895782
Church,14,5,3.67,4.03,6.600496278
Church,15,5,3.78,4.03,6.054590571
Hilton ,1,5,4.54,4.57,2.013129103
Hilton ,2,5,4.58,4.57,1.838074398
Hilton ,3,5,3.77,4.57,5.382932166
Hilton ,4,5,3.83,4.57,5.120350109
Hilton ,5,5,4.35,4.57,2.84463895
Hilton ,6,5,4.29,4.57,3.107221007
Hilton ,7,5,4.79,4.57,0.919037199
Hilton ,8,5,4.51,4.57,2.144420131
Hilton ,9,5,4.39,4.57,2.669584245
Hilton ,10,5,3.29,4.57,7.483588621
Hilton ,11,5,4.99,4.57,0.043763676
Hilton ,12,5,1.72,4.57,14.35448578
Hilton ,13,5,2.82,4.57,9.5404814
Hilton ,14,5,4.24,4.57,3.326039387
Hilton ,15,5,2.98,4.57,8.840262582
Jet_Ski ,1,5,2.59,3.55,13.57746479
Jet_Ski ,2,5,3.25,3.55,9.85915493
Jet_Ski ,3,5,2.3,3.55,15.21126761
Jet_Ski ,4,5,2.45,3.55,14.36619718
Jet_Ski ,5,5,2.21,3.55,15.71830986
Jet_Ski ,6,5,4.58,3.55,2.366197183
Jet_Ski ,7,5,2.78,3.55,12.50704225
Jet_Ski ,8,5,4.71,3.55,1.633802817
Jet_Ski ,9,5,4.31,3.55,3.887323944
Jet_Ski ,10,5,4.35,3.55,3.661971831
Jet_Ski ,11,5,4.17,3.55,4.676056338
Jet_Ski ,12,5,4.41,3.55,3.323943662
Jet_Ski ,13,5,3.81,3.55,6.704225352
Jet_Ski ,14,5,1.21,3.55,21.35211268
Jet_Ski ,15,5,0.29,3.55,26.53521127
,,,,,
,,,,,
