Site,Number,Initial_Weight,Final_Weight,Time_Out,per_loss_hr
West,1,5,4.73,2.57,2.101167315175094
West,2,5,3.76,2.57,9.649805447470818
West,3,5,3.75,2.57,9.72762645914397
West,4,5,0.21,2.57,37.27626459143969
West,5,5,0.39,2.57,35.875486381322965
West,6,5,3.33,2.57,12.996108949416344
West,7,5,3.85,2.57,8.949416342412452
West,8,5,3.64,2.57,10.583657587548638
West,9,5,0.31,2.57,36.49805447470818
West,10,5,0.48,2.57,35.17509727626459
West,11,5,4.38,2.57,4.824902723735409
West,12,5,3.32,2.57,13.073929961089496
West,13,5,2.44,2.57,19.92217898832685
West,14,5,3.85,2.57,8.949416342412452
West,15,5,3.76,2.57,9.649805447470818
Church,1,5,3.13,4.03,9.280397022332505
Church,2,5,4.64,4.03,1.786600496277917
Church,3,5,3.98,4.03,5.062034739454094
Church,4,5,3.72,4.03,6.352357320099254
Church,5,5,3.83,4.03,5.806451612903225
Church,6,5,4.73,4.03,1.3399503722084343
Church,7,5,3.67,4.03,6.600496277915632
Church,8,5,4.37,4.03,3.1265508684863517
Church,9,5,3.68,4.03,6.550868486352355
Church,10,5,3.67,4.03,6.600496277915632
Church,11,5,3.44,4.03,7.741935483870967
Church,12,5,3.8,4.03,5.955334987593052
Church,13,5,4.03,4.03,4.813895781637716
Church,14,5,3.67,4.03,6.600496277915632
Church,15,5,3.78,4.03,6.054590570719603
Hilton,1,5,4.54,4.57,2.0131291028446388
Hilton,2,5,4.58,4.57,1.8380743982494525
Hilton,3,5,3.77,4.57,5.382932166301969
Hilton,4,5,3.83,4.57,5.12035010940919
Hilton,5,5,4.35,4.57,2.844638949671774
Hilton,6,5,4.29,4.57,3.107221006564551
Hilton,7,5,4.79,4.57,0.9190371991247263
Hilton,8,5,4.51,4.57,2.144420131291029
Hilton,9,5,4.39,4.57,2.669584245076588
Hilton,10,5,3.29,4.57,7.483588621444201
Hilton,11,5,4.99,4.57,0.04376367614879556
Hilton,12,5,1.72,4.57,14.354485776805252
Hilton,13,5,2.82,4.57,9.540481400437637
Hilton,14,5,4.24,4.57,3.3260393873085325
Hilton,15,5,2.98,4.57,8.840262582056893
JetSki,1,5,2.59,3.55,13.577464788732396
JetSki,2,5,3.25,3.55,9.859154929577464
JetSki,3,5,2.3,3.55,15.211267605633804
JetSki,4,5,2.45,3.55,14.366197183098592
JetSki,5,5,2.21,3.55,15.71830985915493
JetSki,6,5,4.58,3.55,2.366197183098591
JetSki,7,5,2.78,3.55,12.507042253521128
JetSki,8,5,4.71,3.55,1.6338028169014085
JetSki,9,5,4.31,3.55,3.8873239436619738
JetSki,10,5,4.35,3.55,3.6619718309859177
JetSki,11,5,4.17,3.55,4.676056338028169
JetSki,12,5,4.41,3.55,3.32394366197183
JetSki,13,5,3.81,3.55,6.704225352112676
JetSki,14,5,1.21,3.55,21.35211267605634
JetSki,15,5,5.44,3.55,-2.4788732394366217
