Site_Name,Replicate_Number,Time,Initial_Weight,Initial_Water_Volume,Time,Final_Weight,Final_Water_Volume_(mL),Percent_Change_Weight,Percent_Change_Volume
Hilton,1,1899-12-30T08:38:00Z,2,290,1899-12-30T08:15:00Z,2.18,225,9.000000000000007,-22.413793103448278
Hilton,2,1899-12-30T08:46:00Z,2.08,290,1899-12-30T08:16:00Z,2.26,230,8.653846153846139,-20.689655172413794
Hilton,3,1899-12-30T08:53:00Z,2,290,1899-12-30T08:23:00Z,2.08,215,4.0000000000000036,-25.862068965517242
Hilton,4,1899-12-30T08:53:00Z,2.06,290,1899-12-30T08:22:00Z,2.19,223,6.31067961165048,-23.103448275862068
Hilton,5,1899-12-30T08:56:00Z,2.01,290,1899-12-30T08:24:00Z,2.07,224,2.985074626865675,-22.758620689655174
Hilton,6,1899-12-30T09:01:00Z,2.03,290,1899-12-30T08:23:00Z,2.17,219,6.896551724137938,-24.482758620689655
Hilton,7,1899-12-30T09:01:00Z,2.01,290,1899-12-30T08:31:00Z,2.22,224,10.447761194029873,-22.758620689655174
Hilton,8,1899-12-30T09:05:00Z,2.03,290,1899-12-30T08:29:00Z,2.45,217,20.68965517241381,-25.17241379310345
Hilton,9,1899-12-30T09:00:00Z,2,290,1899-12-30T08:31:00Z,2.41,231,20.500000000000007,-20.344827586206897
Hilton,10,1899-12-30T09:06:00Z,2,290,1899-12-30T08:29:00Z,2.47,225,23.50000000000001,-22.413793103448278
Hilton,11,1899-12-30T09:10:00Z,2.07,290,1899-12-30T08:39:00Z,2.17,224,4.83091787439614,-22.758620689655174
Hilton,12,1899-12-30T09:13:00Z,2,290,1899-12-30T08:39:00Z,2.35,223,17.500000000000004,-23.103448275862068
Hilton,13,1899-12-30T09:14:00Z,2.03,290,1899-12-30T08:37:00Z,2.44,218,20.197044334975377,-24.82758620689655
Hilton,14,1899-12-30T09:16:00Z,2,290,1899-12-30T08:36:00Z,2.17,220,8.499999999999996,-24.137931034482758
Hilton,15,1899-12-30T09:18:00Z,2,290,1899-12-30T08:50:00Z,2.33,225,16.500000000000004,-22.413793103448278
Hilton,16,1899-12-30T09:33:00Z,2.04,290,1899-12-30T08:44:00Z,2.34,221,14.705882352941169,-23.79310344827586
Hilton,17,1899-12-30T09:33:00Z,2.05,290,1899-12-30T08:45:00Z,2.37,215,15.60975609756099,-25.862068965517242
JetSki,18,1899-12-30T13:10:00Z,2.08,290,1899-12-30T09:13:00Z,2.25,219,8.17307692307692,-24.482758620689655
JetSki,19,1899-12-30T13:10:00Z,2.05,290,1899-12-30T09:11:00Z,2.17,225,5.853658536585372,-22.413793103448278
JetSki,20,1899-12-30T13:14:00Z,2.03,290,1899-12-30T09:11:00Z,2.39,214,17.733990147783267,-26.20689655172414
JetSki,21,1899-12-30T13:18:00Z,2,290,1899-12-30T09:12:00Z,2.34,217,16.999999999999993,-25.17241379310345
JetSki,22,1899-12-30T13:18:00Z,2.08,290,1899-12-30T09:17:00Z,2.57,222,23.557692307692296,-23.448275862068964
JetSki,23,1899-12-30T13:20:00Z,2.08,290,1899-12-30T09:18:00Z,2.71,219,30.28846153846153,-24.482758620689655
JetSki,24,1899-12-30T13:25:00Z,2.08,290,1899-12-30T09:19:00Z,2.56,214,23.076923076923077,-26.20689655172414
JetSki,25,1899-12-30T13:28:00Z,2.04,290,1899-12-30T09:20:00Z,2.6,215,27.450980392156865,-25.862068965517242
JetSki,26,1899-12-30T13:29:00Z,2.06,290,1899-12-30T09:25:00Z,2.77,224,34.46601941747572,-22.758620689655174
JetSki,27,1899-12-30T13:31:00Z,2.03,290,1899-12-30T09:24:00Z,2.41,225,18.719211822660117,-22.413793103448278
JetSki,28,1899-12-30T13:32:00Z,2.04,290,1899-12-30T09:26:00Z,2.76,219,35.29411764705881,-24.482758620689655
JetSki,29,1899-12-30T13:34:00Z,2,290,1899-12-30T09:27:00Z,2.59,219,29.499999999999993,-24.482758620689655
JetSki,30,1899-12-30T13:40:00Z,2.01,290,1899-12-30T09:32:00Z,2.58,233,28.358208955223894,-19.655172413793103
JetSki,31,1899-12-30T13:42:00Z,2.05,290,1899-12-30T09:32:00Z,2.37,220,15.60975609756099,-24.137931034482758
JetSki,32,1899-12-30T13:44:00Z,2.06,290,1899-12-30T09:31:00Z,2.23,232,8.252427184466015,-20
