Site,Date,Nutrients,Herbivory,Plot,Replicate,Species,Unique_ID,TH,Thickness,TS,Toughness,P_calcification,DW:WW,WW:TH,SA:V,SA:WW
Church,2025-04-25T00:00:00Z,H,L,1,4,Padina,OC-1.04-Pad-A,11.1,0.055,0.88,27.67,14.000000000000002,0.2193158953722334,0.4927927927927928,30.717847082494973,28.0784708249497
Church,2025-04-25T00:00:00Z,H,L,1,1,Turbinaria,OC-1.01-Turb-A,9,0.155,2,60.28,0,0.16766467065868262,0.5566666666666666,5.52920307,4.414533389221558
Church,2025-04-25T00:00:00Z,H,L,1,2,Turbinaria,OC-1.02-Turb-B,10.8,0.18,0.88,49.42,0,0.15992647058823528,0.5037037037037037,5.984734006,5.500674637867647
Church,2025-04-25T00:00:00Z,H,L,1,8,Turbinaria,OC-1.08-Turb-D,4.8,0.16,1.74,47.89,0,0.13291139240506328,0.3291666666666667,5.13894745,6.504996772151898
Church,2025-04-25T00:00:00Z,H,L,1,10,Turbinaria,OC-1.10-Turb-E,10.8,0.2,1.82,51.8,0,0.14455445544554454,0.46759259259259256,6.217211862,6.155655308910891
Church,2025-04-25T00:00:00Z,H,L,1,5,Padina,OC-1.05-Pad-B,11.5,0.03,0.61,29.12,23.437500000000004,0.16250000000000003,0.8208695652173913,27.584779545454552,23.376931818181824
Church,2025-04-25T00:00:00Z,H,L,1,6,Padina,OC-1.06-Pad-C,13.9,0.025,1.24,27.1,9.677419354838701,0.15642458100558662,1.1194244604316548,19.155044553072624,24.620879888268156
Church,2025-04-25T00:00:00Z,H,L,1,3,Turbinaria,OC-1.03-Turb-C,8.5,0.155,2.47,40.21,0,0.1512605042016807,0.42,2.5415872422222225,6.407362795518208
Church,2025-04-25T00:00:00Z,H,L,1,9,Halimeda,OC-1.09-Hali-A,1.1,0.105,0.35,92.44,84.61538461538461,0.01886792453,1.081818182,8.738641509,7.343396226415094
Church,2025-04-25T00:00:00Z,H,L,1,11,Turbinaria,OC-1.11-Turb-F,3.27,0.11,1.2,21.94,0,0.22,0.1529051987767584,10.750530060000001,10.750530060000001
Church,2025-04-25T00:00:00Z,H,L,1,7,Padina,OC-1.07-Pad-D,7.7,0.035,1.18,31.24,41.66666666666666,0.203125,0.3636363636363636,43.459609375,31.042578125000002
Church,2025-04-25T00:00:00Z,H,L,1,13,Turbinaria,OC-1.13-Turb-G,11.1,0.22,1.8,55.23,0,0.1454248366013072,0.5513513513513514,6.33938491,5.179236037581699
Church,2025-04-25T00:00:00Z,H,L,1,14,Turbinaria,OC-1.14-Turb-H,10.2,0.18,1.8,33.74,0,0.1440677966101695,0.4627450980392157,4.913101844,5.204557038135594
Church,2025-04-25T00:00:00Z,H,L,1,15,Turbinaria,OC-1.15-Turb-I,3.7,0.16,1.94,27.95,0,0.15654205607476634,1.1567567567567567,4.98946,4.663046728971962
Church,2025-04-25T00:00:00Z,H,L,1,16,Turbinaria,OC-1.16-Turb-J,4.3,0.165,0.24,24.84,0,0.16666666666666669,0.19534883720930232,11.32369619,13.480590702380953
Church,2025-04-25T00:00:00Z,H,L,1,17,Turbinaria,OC-1.17-Turb-K,5.9,0.18,1.92,35.57,0,0.12280701754385964,0.28983050847457625,9.087929415,5.314578605263158
Church,2025-04-25T00:00:00Z,H,L,1,20,Turbinaria,OC-1.20-Turb-N,6.5,0.17,2.34,35.5,0,0.14344262295081966,0.37538461538461537,19.74490983,8.092176159836066
Church,2025-04-25T00:00:00Z,H,L,1,18,Turbinaria,OC-1.18-Turb-L,5.4,0.155,2.46,36.62,0,0.143646408839779,0.3351851851851852,6.05541984,6.691071646408839
Church,2025-04-25T00:00:00Z,H,L,1,21,Turbinaria,OC-1.21-Turb-O,8.3,0.16,1.88,26.18,0,0.16666666666666666,0.3180722891566265,8.735372905,6.617706746212121
Church,2025-04-25T00:00:00Z,H,L,1,19,Turbinaria,OC-1.19-Turb-M,4,0.15,0.78,25.45,0,0.15942028985507248,0.1725,6.078981785,8.810118528985507
Church,2025-04-25T00:00:00Z,H,L,1,12,Padina,OC-1.12-Pad-E,5.4,0.07,0.22,20.6,15.789473684210526,0.2857142857142853,0.1,53.61737142857143,49.645714285714284
Church,2025-04-25T00:00:00Z,H,L,1,24,Turbinaria,OC-1.24-Turb-R,3.5,0.14,1.56,34.47,0,0.18194444444444446,0.2057142857142857,6.112724816666667,12.734843368055556
Church,2025-04-25T00:00:00Z,H,L,1,25,Turbinaria,OC-1.25-Turb-S,3.6,0.15,1.66,27.61,0,0.11111111111111112,0.27499999999999997,4.185299546,6.341362948484849
Church,2025-04-25T00:00:00Z,H,L,1,22,Turbinaria,OC-1.22-Turb-P,4.4,0.11,1.67,21.35,0,0.2,0.19318181818181815,4.201880174,9.886776880000001
Church,2025-04-25T00:00:00Z,H,L,1,23,Turbinaria,OC-1.23-Turb-Q,1.9,0.115,0.6,49.73,0,0.20833333333333334,0.12631578947368421,0.879645943,3.6651914291666667
Hilton,2025-04-24T00:00:00Z,L,L,1,3,Turbinaria,H-1.03-Turb-A,15.5,0.05,3.3,38.79,0,0.14192348565356003,1.2141935483870967,4.251505702666667,3.3885539606801274
Hilton,2025-04-24T00:00:00Z,L,L,1,4,Turbinaria,H-1.04-Turb-B,14.4,0.27,2.04,50.59,0,0.14391143911439114,0.7527777777777778,6.290166624545455,6.383010412361624
Hilton,2025-04-24T00:00:00Z,L,L,1,6,Turbinaria,H-1.06-Turb-C,16.4,0.27,2.7,50,0,0.13266583229036297,0.9743902439024391,2.6072077431999996,4.078860674593241
Hilton,2025-04-24T00:00:00Z,L,L,1,7,Turbinaria,H-1.07-Turb-D,10.9,0.06,2.46,31.44,0,0.13811188811188813,1.0495412844036696,3.7622208275,3.9463854833916088
